id,year,paper,question,pdf,video,notes
2022-step2-q10,2022,step2,10,contest/step/2022/step2/question-10.pdf,,
2022-step2-q11,2022,step2,11,contest/step/2022/step2/question-11.pdf,,
2022-step2-q12,2022,step2,12,contest/step/2022/step2/question-12.pdf,,
2022-step3-q01,2022,step3,1,contest/step/2022/step3/question-01.pdf,,
2022-step3-q02,2022,step3,2,contest/step/2022/step3/question-02.pdf,,
2022-step3-q03,2022,step3,3,contest/step/2022/step3/question-03.pdf,,
2022-step3-q04,2022,step3,4,contest/step/2022/step3/question-04.pdf,,
2022-step3-q05,2022,step3,5,contest/step/2022/step3/question-05.pdf,,
2022-step3-q06,2022,step3,6,contest/step/2022/step3/question-06.pdf,,
2022-step3-q07,2022,step3,7,contest/step/2022/step3/question-07.pdf,,
2022-step3-q08,2022,step3,8,contest/step/2022/step3/question-08.pdf,,
2022-step3-q09,2022,step3,9,contest/step/2022/step3/question-09.pdf,,
2022-step3-q10,2022,step3,10,contest/step/2022/step3/question-10.pdf,,
2022-step3-q11,2022,step3,11,contest/step/2022/step3/question-11.pdf,,
2022-step3-q12,2022,step3,12,contest/step/2022/step3/question-12.pdf,,
2021-step2-q01,2021,step2,1,contest/step/2021/step2/question-01.pdf,,
2021-step2-q02,2021,step2,2,contest/step/2021/step2/question-02.pdf,,
2021-step2-q03,2021,step2,3,contest/step/2021/step2/question-03.pdf,,
2021-step2-q04,2021,step2,4,contest/step/2021/step2/question-04.pdf,,
2021-step2-q05,2021,step2,5,contest/step/2021/step2/question-05.pdf,,
2021-step2-q06,2021,step2,6,contest/step/2021/step2/question-06.pdf,,
2021-step2-q07,2021,step2,7,contest/step/2021/step2/question-07.pdf,,
2021-step2-q08,2021,step2,8,contest/step/2021/step2/question-08.pdf,,
2021-step2-q09,2021,step2,9,contest/step/2021/step2/question-09.pdf,,
2021-step2-q10,2021,step2,10,contest/step/2021/step2/question-10.pdf,,
2021-step2-q11,2021,step2,11,contest/step/2021/step2/question-11.pdf,,
2021-step2-q12,2021,step2,12,contest/step/2021/step2/question-12.pdf,,
2021-step3-q01,2021,step3,1,contest/step/2021/step3/question-01.pdf,,
2021-step3-q02,2021,step3,2,contest/step/2021/step3/question-02.pdf,,
2021-step3-q03,2021,step3,3,contest/step/2021/step3/question-03.pdf,,
2021-step3-q04,2021,step3,4,contest/step/2021/step3/question-04.pdf,,
2021-step3-q05,2021,step3,5,contest/step/2021/step3/question-05.pdf,,
2021-step3-q06,2021,step3,6,contest/step/2021/step3/question-06.pdf,,
2021-step3-q07,2021,step3,7,contest/step/2021/step3/question-07.pdf,,
2021-step3-q08,2021,step3,8,contest/step/2021/step3/question-08.pdf,,
2021-step3-q09,2021,step3,9,contest/step/2021/step3/question-09.pdf,,
2021-step3-q10,2021,step3,10,contest/step/2021/step3/question-10.pdf,,
2021-step3-q11,2021,step3,11,contest/step/2021/step3/question-11.pdf,,
2021-step3-q12,2021,step3,12,contest/step/2021/step3/question-12.pdf,,
2020-step2-q01,2020,step2,1,contest/step/2020/step2/question-01.pdf,,
2020-step2-q02,2020,step2,2,contest/step/2020/step2/question-02.pdf,,
2020-step2-q03,2020,step2,3,contest/step/2020/step2/question-03.pdf,,
2020-step2-q04,2020,step2,4,contest/step/2020/step2/question-04.pdf,,
2020-step2-q05,2020,step2,5,contest/step/2020/step2/question-05.pdf,,
2020-step2-q06,2020,step2,6,contest/step/2020/step2/question-06.pdf,,
2020-step2-q07,2020,step2,7,contest/step/2020/step2/question-07.pdf,,
2020-step2-q08,2020,step2,8,contest/step/2020/step2/question-08.pdf,,
2020-step2-q09,2020,step2,9,contest/step/2020/step2/question-09.pdf,,
2020-step2-q10,2020,step2,10,contest/step/2020/step2/question-10.pdf,,
2020-step2-q11,2020,step2,11,contest/step/2020/step2/question-11.pdf,,
2020-step2-q12,2020,step2,12,contest/step/2020/step2/question-12.pdf,,
2020-step3-q01,2020,step3,1,contest/step/2020/step3/question-01.pdf,,
2020-step3-q02,2020,step3,2,contest/step/2020/step3/question-02.pdf,,
2020-step3-q03,2020,step3,3,contest/step/2020/step3/question-03.pdf,,
2020-step3-q04,2020,step3,4,contest/step/2020/step3/question-04.pdf,,
2020-step3-q05,2020,step3,5,contest/step/2020/step3/question-05.pdf,,
2020-step3-q06,2020,step3,6,contest/step/2020/step3/question-06.pdf,,
2020-step3-q07,2020,step3,7,contest/step/2020/step3/question-07.pdf,,
2020-step3-q08,2020,step3,8,contest/step/2020/step3/question-08.pdf,,
2020-step3-q09,2020,step3,9,contest/step/2020/step3/question-09.pdf,,
2020-step3-q10,2020,step3,10,contest/step/2020/step3/question-10.pdf,,
2020-step3-q11,2020,step3,11,contest/step/2020/step3/question-11.pdf,,
2020-step3-q12,2020,step3,12,contest/step/2020/step3/question-12.pdf,,
